uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy,identificationHistoryID
"0f5e486f-716d-47cf-a80c-5d63f963bc58","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","9","2018-06-07T08:59Z","BART_012.9.2018-06-07",1,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler",30,"singing","No","Unknown",1,,"JRUEB",
"f2be7252-9005-482e-93f9-794fd077e90b","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","9","2018-06-07T08:59Z","BART_012.9.2018-06-07",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",20,"singing","No","Unknown",1,,"JRUEB",
"83e895f3-3604-459c-917a-67105a1e2a72","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","9","2018-06-07T08:59Z","BART_012.9.2018-06-07",1,"Y","WIWR","Troglodytes hiemalis","species","Winter Wren",45,"singing","No","Unknown",1,,"JRUEB",
"a0b5b3e5-d467-48c3-aca3-29680739f067","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","9","2018-06-07T08:59Z","BART_012.9.2018-06-07",6,"N",,,,,,,,,,,"JRUEB",
"c01ac0b0-f168-4398-8c6a-1c15c78c71e0","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","9","2018-06-07T08:59Z","BART_012.9.2018-06-07",5,"N",,,,,,,,,,,"JRUEB",
"d1852037-d2f6-4595-8b68-050384ed528d","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","9","2018-06-07T08:59Z","BART_012.9.2018-06-07",2,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",50,"singing","No","Unknown",1,,"JRUEB",
"b4ab56b5-cac5-4169-84f1-547bfef6bffd","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","9","2018-06-07T08:59Z","BART_012.9.2018-06-07",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",25,"singing","No","Unknown",1,,"JRUEB",
"10142f05-b412-44dd-8123-907b446fd2be","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","9","2018-06-07T08:59Z","BART_012.9.2018-06-07",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",30,"singing","No","Unknown",1,,"JRUEB",
"94c2bc61-822d-4f0b-b7fd-6d5e497ad5b5","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","9","2018-06-07T08:59Z","BART_012.9.2018-06-07",3,"Y","HETH","Catharus guttatus","species","Hermit Thrush",40,"singing","No","Unknown",1,,"JRUEB",
"b77b3742-0cd4-41c5-adf1-33241da4763f","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","9","2018-06-07T08:59Z","BART_012.9.2018-06-07",4,"N",,,,,,,,,,,"JRUEB",
"0bf41bb0-93d0-44e1-9a70-a89743d14ed4","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","9","2018-06-07T08:59Z","BART_012.9.2018-06-07",1,"Y","BLBW","Setophaga fusca","species","Blackburnian Warbler",40,"singing","No","Unknown",1,,"JRUEB",
"f3fd0354-7865-40e8-8b89-6efca4d74e1a","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","8","2018-06-07T09:14Z","BART_012.8.2018-06-07",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",40,"singing","No","Unknown",1,,"JRUEB",
"1bb9cc12-dfcc-4a39-9401-515367682d87","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","8","2018-06-07T09:14Z","BART_012.8.2018-06-07",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",80,"singing","No","Unknown",1,,"JRUEB",
"bc4da122-21f4-4ec1-905b-28b71f44f43d","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","8","2018-06-07T09:14Z","BART_012.8.2018-06-07",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",60,"singing","No","Unknown",1,,"JRUEB",
"41974ab1-9dd5-4921-b91f-010df33de0eb","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","8","2018-06-07T09:14Z","BART_012.8.2018-06-07",2,"Y","HETH","Catharus guttatus","species","Hermit Thrush",100,"singing","No","Unknown",1,,"JRUEB",
"21ce3d9f-1635-4fff-a551-784c9a0e717d","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","8","2018-06-07T09:14Z","BART_012.8.2018-06-07",3,"Y","UNWO","Picidae sp.","family",,40,"drumming","No","Unknown",1,,"JRUEB",
"9be92075-4810-44f4-adeb-e72cfecbd932","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","8","2018-06-07T09:14Z","BART_012.8.2018-06-07",2,"Y","BAWW","Mniotilta varia","species","Black-and-white Warbler",70,"singing","No","Unknown",1,,"JRUEB",
"e827ae9b-7448-44ce-a36e-0717ab820b93","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","8","2018-06-07T09:14Z","BART_012.8.2018-06-07",5,"N",,,,,,,,,,,"JRUEB",
"ebbbc728-ece8-4fe5-8b26-a69440fe9f42","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","8","2018-06-07T09:14Z","BART_012.8.2018-06-07",4,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",30,"singing","No","Unknown",1,,"JRUEB",
"fb13bf80-063b-46dc-baee-8bf86a5416f3","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","8","2018-06-07T09:14Z","BART_012.8.2018-06-07",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",50,"singing","No","Unknown",1,,"JRUEB",
"e0dcd05b-c007-44b5-8586-483492555f50","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","8","2018-06-07T09:14Z","BART_012.8.2018-06-07",6,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",25,"singing","No","Unknown",1,,"JRUEB",
"cdbbad53-ff65-4470-a7b9-58bd95b7fdde","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","7","2018-06-07T09:30Z","BART_012.7.2018-06-07",4,"Y","BTBW","Setophaga caerulescens","species","Black-throated Blue Warbler",35,"singing","No","Unknown",1,,"JRUEB",
"7cb27c78-eb96-4097-9f29-890d67f34772","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","7","2018-06-07T09:30Z","BART_012.7.2018-06-07",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",30,"singing","No","Unknown",1,,"JRUEB",
"a9a373ca-2d03-4585-961a-4c00be553d8c","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","7","2018-06-07T09:30Z","BART_012.7.2018-06-07",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",50,"singing","No","Unknown",1,,"JRUEB",
"9b51c479-5fdc-4541-ae49-6965833b96c4","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","7","2018-06-07T09:30Z","BART_012.7.2018-06-07",5,"Y","SCTA","Piranga olivacea","species","Scarlet Tanager",30,"singing","No","Unknown",1,,"JRUEB",
"a7510ba5-0ef6-4d7c-aa0b-9c930e761f22","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","7","2018-06-07T09:30Z","BART_012.7.2018-06-07",5,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",25,"singing","No","Unknown",1,,"JRUEB",
"170a4257-6349-47dc-8c57-010568650638","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","7","2018-06-07T09:30Z","BART_012.7.2018-06-07",6,"N",,,,,,,,,,,"JRUEB",
"c408990c-9065-4056-b1ea-00de69bb07b5","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","7","2018-06-07T09:30Z","BART_012.7.2018-06-07",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",35,"singing","No","Unknown",1,,"JRUEB",
"7a124b04-ea59-4f47-aa22-0135973e4116","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","7","2018-06-07T09:30Z","BART_012.7.2018-06-07",2,"N",,,,,,,,,,,"JRUEB",
"04a15d43-8b37-4c76-8e13-8aa348e6cb3e","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","7","2018-06-07T09:30Z","BART_012.7.2018-06-07",3,"N",,,,,,,,,,,"JRUEB",
"a047c42e-9bc6-4955-b296-698a8001de27","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","4","2018-06-07T09:49Z","BART_012.4.2018-06-07",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",35,"singing","No","Unknown",1,,"JRUEB",
"6063bc26-1744-45ac-aa3d-bad3b507f601","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","4","2018-06-07T09:49Z","BART_012.4.2018-06-07",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",25,"singing","No","Unknown",1,,"JRUEB",
"9a63f4b5-5749-4429-b04f-c0c0c845eb73","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","4","2018-06-07T09:49Z","BART_012.4.2018-06-07",5,"N",,,,,,,,,,,"JRUEB",
"6099dc13-aa48-4e98-91cc-36c9efe4f5d0","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","4","2018-06-07T09:49Z","BART_012.4.2018-06-07",2,"N",,,,,,,,,,,"JRUEB",
"7894bcf9-7b21-4689-b597-0bf733cffa20","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","4","2018-06-07T09:49Z","BART_012.4.2018-06-07",1,"Y","BLBW","Setophaga fusca","species","Blackburnian Warbler",30,"singing","No","Unknown",1,,"JRUEB",
"ff4420a3-e32a-4dd4-8f1d-c585460d5519","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","4","2018-06-07T09:49Z","BART_012.4.2018-06-07",1,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler",60,"singing","No","Unknown",1,,"JRUEB",
"72916d7c-03d0-4f6d-8aaa-cf2662f8d9c7","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","4","2018-06-07T09:49Z","BART_012.4.2018-06-07",4,"N",,,,,,,,,,,"JRUEB",
"5ef366a5-dda9-4007-8b8e-9bd47924add9","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","4","2018-06-07T09:49Z","BART_012.4.2018-06-07",3,"Y","BLBW","Setophaga fusca","species","Blackburnian Warbler",20,"singing","No","Unknown",1,,"JRUEB",
"54ff962c-eddf-44e8-ab5d-b485c8ac4bc2","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","4","2018-06-07T09:49Z","BART_012.4.2018-06-07",6,"Y","SWTH","Catharus ustulatus","species","Swainson's Thrush",60,"singing","No","Unknown",1,,"JRUEB",
"5a4e683f-d7a4-4471-82ab-593ef1b465bf","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","1","2018-06-07T10:10Z","BART_012.1.2018-06-07",3,"Y","BAWW","Mniotilta varia","species","Black-and-white Warbler",30,"singing","No","Unknown",1,,"JRUEB",
"93f3d832-7b76-4784-9b16-28f8a5aab2e1","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","1","2018-06-07T10:10Z","BART_012.1.2018-06-07",4,"Y","GCKI","Regulus satrapa","species","Golden-crowned Kinglet",40,"singing","No","Unknown",1,,"JRUEB",
"9dbb0aee-997b-47fd-89fd-3f76883de001","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","1","2018-06-07T10:10Z","BART_012.1.2018-06-07",3,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",35,"singing","No","Unknown",1,,"JRUEB",
"b0175d5c-79b5-46db-aa7e-1d91a11b7fad","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","1","2018-06-07T10:10Z","BART_012.1.2018-06-07",6,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",20,"singing","No","Unknown",1,,"JRUEB",
"4fd08b8b-2517-40ab-8d0e-bdda55657d0b","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","1","2018-06-07T10:10Z","BART_012.1.2018-06-07",6,"Y","SWTH","Catharus ustulatus","species","Swainson's Thrush",20,"calling","No","Unknown",1,,"JRUEB",
"b9c94584-d1d8-4ec6-8c62-45b630c70f5c","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","1","2018-06-07T10:10Z","BART_012.1.2018-06-07",6,"Y","BCCH","Poecile atricapillus","species","Black-capped Chickadee",70,"calling","No","Unknown",1,,"JRUEB",
"da2bdae4-e6b2-47ca-834b-89fe0c8f6345","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","1","2018-06-07T10:10Z","BART_012.1.2018-06-07",6,"Y","RBNU","Sitta canadensis","species","Red-breasted Nuthatch",60,"calling","No","Unknown",1,,"JRUEB",
"a7a1230c-c807-4382-85e1-9638cf3f6051","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","1","2018-06-07T10:10Z","BART_012.1.2018-06-07",1,"Y","BLBW","Setophaga fusca","species","Blackburnian Warbler",50,"singing","No","Unknown",1,,"JRUEB",
"a7c96c44-2a5b-471a-af64-f5ce256c0784","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","1","2018-06-07T10:10Z","BART_012.1.2018-06-07",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",40,"singing","No","Unknown",1,,"JRUEB",
"07b028fe-f6e8-411b-8bba-a8f1cfd55435","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","1","2018-06-07T10:10Z","BART_012.1.2018-06-07",2,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler",50,"singing","No","Unknown",1,,"JRUEB",
"03db6495-2f07-4259-ab84-420b1f62dd83","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","1","2018-06-07T10:10Z","BART_012.1.2018-06-07",1,"Y","BLBW","Setophaga fusca","species","Blackburnian Warbler",30,"singing","No","Unknown",1,,"JRUEB",
"0d10fa85-c8df-43d0-b20e-2de8a6084519","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","1","2018-06-07T10:10Z","BART_012.1.2018-06-07",5,"Y","VEER","Catharus fuscescens","species","Veery",40,"calling","No","Unknown",1,,"JRUEB",
"4c393230-7c5f-4bc7-9f69-fd62b8b7cd9d","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","2","2018-06-07T10:31Z","BART_012.2.2018-06-07",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",20,"singing","No","Unknown",1,,"JRUEB",
"6c437795-3812-4655-b7bc-3fb96c3eae04","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","2","2018-06-07T10:31Z","BART_012.2.2018-06-07",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",40,"singing","No","Unknown",1,,"JRUEB",
"9b101279-b3fc-4f47-b1d6-2bc77dbe31b9","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","2","2018-06-07T10:31Z","BART_012.2.2018-06-07",2,"Y","BAWW","Mniotilta varia","species","Black-and-white Warbler",35,"singing","No","Unknown",1,,"JRUEB",
"661a3a62-4458-45c6-87af-13c7d69f4fe7","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","2","2018-06-07T10:31Z","BART_012.2.2018-06-07",6,"Y","BAWW","Mniotilta varia","species","Black-and-white Warbler",60,"singing","No","Unknown",1,,"JRUEB",
"0d04c942-cb61-4f4d-bcfe-b206fe3508df","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","2","2018-06-07T10:31Z","BART_012.2.2018-06-07",4,"Y","AMRE","Setophaga ruticilla","species","American Redstart",45,"singing","No","Unknown",1,,"JRUEB",
"0d8737f0-cc58-4186-972a-302091b768e4","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","2","2018-06-07T10:31Z","BART_012.2.2018-06-07",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",50,"singing","No","Unknown",1,,"JRUEB",
"64f2eca6-e207-4314-ab43-1d253dee3558","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","2","2018-06-07T10:31Z","BART_012.2.2018-06-07",5,"N",,,,,,,,,,,"JRUEB",
"7f328fd4-ee19-49b8-9d9e-71af1e05060e","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","2","2018-06-07T10:31Z","BART_012.2.2018-06-07",3,"N",,,,,,,,,,,"JRUEB",
"ad85e334-4964-4042-88ae-6bfa83654f57","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","3","2018-06-07T10:49Z","BART_012.3.2018-06-07",1,"Y","YBSA","Sphyrapicus varius","species","Yellow-bellied Sapsucker",40,"calling","No","Unknown",1,,"JRUEB",
"249ee7c2-b513-463f-bf12-f6c0ad5d657a","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","3","2018-06-07T10:49Z","BART_012.3.2018-06-07",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",20,"singing","No","Unknown",1,,"JRUEB",
"09ba59c1-57ab-4131-b0c7-769a33a79f8b","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","3","2018-06-07T10:49Z","BART_012.3.2018-06-07",2,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",25,"singing","No","Unknown",1,,"JRUEB",
"043ad610-4579-439c-b713-410a975f7cd4","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","3","2018-06-07T10:49Z","BART_012.3.2018-06-07",5,"N",,,,,,,,,,,"JRUEB",
"4153c6e5-6990-475d-b096-c5ac6e07375b","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","3","2018-06-07T10:49Z","BART_012.3.2018-06-07",3,"N",,,,,,,,,,,"JRUEB",
"b4fdb48b-d437-42d6-b770-990fcc861b65","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","3","2018-06-07T10:49Z","BART_012.3.2018-06-07",4,"N",,,,,,,,,,,"JRUEB",
"2c03eba7-215f-4eb3-82fc-f2253569c552","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","3","2018-06-07T10:49Z","BART_012.3.2018-06-07",6,"N",,,,,,,,,,,"JRUEB",
"081ad1ef-e601-4f5b-b39f-ba520a9c859a","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","3","2018-06-07T10:49Z","BART_012.3.2018-06-07",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",30,"singing","No","Unknown",1,,"JRUEB",
"c638bab3-459f-4d02-9d38-cac89280fb17","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","6","2018-06-07T11:09Z","BART_012.6.2018-06-07",6,"N",,,,,,,,,,,"JRUEB",
"5f34f54d-7b38-4f13-9d89-a2aa2a641e12","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","6","2018-06-07T11:09Z","BART_012.6.2018-06-07",4,"N",,,,,,,,,,,"JRUEB",
"7c07e76a-16c9-42eb-a58f-2ba573a9b1e1","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","6","2018-06-07T11:09Z","BART_012.6.2018-06-07",1,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler",35,"singing","No","Unknown",1,,"JRUEB",
"f29493b5-e7fd-4bbe-ad6c-95cb724fa44e","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","6","2018-06-07T11:09Z","BART_012.6.2018-06-07",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",40,"singing","No","Unknown",1,,"JRUEB",
"acb0beea-e1b9-44fa-be3e-a496e3a1f674","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","6","2018-06-07T11:09Z","BART_012.6.2018-06-07",2,"Y","VEER","Catharus fuscescens","species","Veery",15,"calling","No","Unknown",1,,"JRUEB",
